Vaccine type,Town,Vaccine coverage
אבעבועות רוח-VAR,ירושלים,72%
אבעבועות רוח-VAR,תל אביב - יפו,79%
אבעבועות רוח-VAR,נתניה,74%
אבעבועות רוח-VAR,בית שמש,68%
אבעבועות רוח-VAR,בני ברק,78%
אבעבועות רוח-VAR,חיפה,83%
אבעבועות רוח-VAR,אשדוד,80%
אבעבועות רוח-VAR,ראשון לציון,77%
אבעבועות רוח-VAR,פתח תקווה,80%
אבעבועות רוח-VAR,באר שבע,78%
אבעבועות רוח-VAR,בת ים,75%
אבעבועות רוח-VAR,חולון,78%
אבעבועות רוח-VAR,אשקלון,75%
אבעבועות רוח-VAR,רחובות,75%
אבעבועות רוח-VAR,רמת גן,82%
אבעבועות רוח-VAR,מודיעין עילית,77%
אבעבועות רוח-VAR,ביתר עילית,76%
אבעבועות רוח-VAR,הרצליה,78%
אבעבועות רוח-VAR,רעננה,80%
אבעבועות רוח-VAR,חדרה,73%
אבעבועות רוח-VAR,צפת,63%
אבעבועות רוח-VAR,לוד,80%
אבעבועות רוח-VAR,כפר סבא,81%
אבעבועות רוח-VAR,טבריה,73%
אבעבועות רוח-VAR,נתיבות,73%
אבעבועות רוח-VAR,קרית גת,77%
אבעבועות רוח-VAR,רהט,90%
אבעבועות רוח-VAR,חריש,68%
אבעבועות רוח-VAR,רמלה,76%
אבעבועות רוח-VAR,אלעד,75%
אבעבועות רוח-VAR,ראש העין,74%
אבעבועות רוח-VAR,מודיעין-מכבים-רעות,81%
אבעבועות רוח-VAR,עפולה,79%
אבעבועות רוח-VAR,אילת,75%
אבעבועות רוח-VAR,נהריה,82%
אבעבועות רוח-VAR,פרדס חנה-כרכור,72%
אבעבועות רוח-VAR,גבעתיים,83%
אבעבועות רוח-VAR,הוד השרון,81%
אבעבועות רוח-VAR,עכו,84%
אבעבועות רוח-VAR,אופקים,75%
אבעבועות רוח-VAR,נוף הגליל,81%
אבעבועות רוח-VAR,כרמיאל,82%
אבעבועות רוח-VAR,יבנה,79%
אבעבועות רוח-VAR,שדרות,75%
אבעבועות רוח-VAR,קרית אתא,79%
אבעבועות רוח-VAR,קרית ים,81%
אבעבועות רוח-VAR,רמת השרון,79%
אבעבועות רוח-VAR,מסעודין אל-עזאזמה,65%
אבעבועות רוח-VAR,נצרת,92%
אבעבועות רוח-VAR,קרית מוצקין,82%
אבעבועות רוח-VAR,קרית מלאכי,68%
אבעבועות רוח-VAR,ערד,85%
אבעבועות רוח-VAR,גבעת זאב,73%
אבעבועות רוח-VAR,קרית ביאליק,82%
אבעבועות רוח-VAR,דימונה,82%
אבעבועות רוח-VAR,אור יהודה,77%
אבעבועות רוח-VAR,אום אל-פחם,93%
אבעבועות רוח-VAR,מעלה אדומים,82%
אבעבועות רוח-VAR,מגדל העמק,70%
אבעבועות רוח-VAR,נס ציונה,80%
אבעבועות רוח-VAR,קרית אונו,81%
אבעבועות רוח-VAR,גבעת שמואל,82%
אבעבועות רוח-VAR,טירת כרמל,83%
אבעבועות רוח-VAR,רכסים,73%
אבעבועות רוח-VAR,טייבה,90%
אבעבועות רוח-VAR,אור עקיבא,78%
אבעבועות רוח-VAR,חורה,81%
אבעבועות רוח-VAR,זכרון יעקב,80%
אבעבועות רוח-VAR,תל שבע,87%
אבעבועות רוח-VAR,יהוד,82%
אבעבועות רוח-VAR,ערערה-בנגב,82%
אבעבועות רוח-VAR,כסיפה,85%
אבעבועות רוח-VAR,כפר יונה,78%
אבעבועות רוח-VAR,באר יעקב,82%
אבעבועות רוח-VAR,גדרה,76%
אבעבועות רוח-VAR,קרית טבעון,73%
אבעבועות רוח-VAR,לקיה,89%
אבעבועות רוח-VAR,מבשרת ציון,80%
אבעבועות רוח-VAR,"כפר חב""ד",64%
אבעבועות רוח-VAR,יקנעם עילית,77%
אבעבועות רוח-VAR,נשר,79%
אבעבועות רוח-VAR,אריאל,78%
אבעבועות רוח-VAR,מעלות-תרשיחא,81%
אבעבועות רוח-VAR,טירה,87%
אבעבועות רוח-VAR,כוכב יעקב,77%
אבעבועות רוח-VAR,בית שאן,73%
אבעבועות רוח-VAR,שפרעם,93%
אבעבועות רוח-VAR,גני תקווה,80%
אבעבועות רוח-VAR,קרית שמונה,80%
אבעבועות רוח-VAR,כפר קאסם,91%
אבעבועות רוח-VAR,באקה אל-גרביה,91%
אבעבועות רוח-VAR,שילה,60%
אבעבועות רוח-VAR,טמרה,94%
אבעבועות רוח-VAR,שגב-שלום,78%
אבעבועות רוח-VAR,גן יבנה,79%
אבעבועות רוח-VAR,אפרת,82%
אבעבועות רוח-VAR,סח'נין,93%
אבעבועות רוח-VAR,שוהם,83%
אבעבועות רוח-VAR,קדימה-צורן,78%
אבעבועות רוח-VAR,קלנסווה,92%
אבעבועות רוח-VAR,בת עין,18%
אבעבועות רוח-VAR,חברון,46%
אבעבועות רוח-VAR,עראבה,93%
אבעבועות רוח-VAR,כפר עקב,7%
אבעבועות רוח-VAR,קרית יערים,75%
אבעבועות רוח-VAR,קרית ארבע,71%
אבעבועות רוח-VAR,עמנואל,67%
אבעבועות רוח-VAR,כפר כנא,94%
אבעבועות רוח-VAR,כפר מנדא,93%
אבעבועות רוח-VAR,בנימינה-גבעת עדה,77%
אבעבועות רוח-VAR,ערערה,92%
אבעבועות רוח-VAR,תקוע,50%
אבעבועות רוח-VAR,תקוע,57%
אבעבועות רוח-VAR,קרני שומרון,77%
אבעבועות רוח-VAR,כפר קרע,91%
אבעבועות רוח-VAR,מעלה עירון,91%
אבעבועות רוח-VAR,חצור הגלילית,85%
אבעבועות רוח-VAR,קצרין,70%
אבעבועות רוח-VAR,יצהר,46%
אבעבועות רוח-VAR,אבן יהודה,80%
אבעבועות רוח-VAR,אזור,76%
אבעבועות רוח-VAR,ירוחם,81%
אבעבועות רוח-VAR,יד בנימין,45%
אבעבועות רוח-VAR,תל מונד,85%
אבעבועות רוח-VAR,אלעיזריה,44%
אבעבועות רוח-VAR,מגאר,93%
אבעבועות רוח-VAR,מצפה רמון,71%
אבעבועות רוח-VAR,יבנאל,66%
אבעבועות רוח-VAR,ג'דיידה-מכר,94%
אבעבועות רוח-VAR,יפיע,91%
אבעבועות רוח-VAR,מזכרת בתיה,82%
אבעבועות רוח-VAR,קרית עקרון,69%
אבעבועות רוח-VAR,קיסריה,74%
אבעבועות רוח-VAR,גבע בנימין,69%
אבעבועות רוח-VAR,ענאתא,36%
אבעבועות רוח-VAR,אכסאל,94%
אבעבועות רוח-VAR,אבו רובייעה (שבט),81%
אבעבועות רוח-VAR,בית אל,84%
אבעבועות רוח-VAR,טלמון,78%
אבעבועות רוח-VAR,צור הדסה,77%
אבעבועות רוח-VAR,עתלית,83%
אבעבועות רוח-VAR,ריינה,93%
אבעבועות רוח-VAR,ג'סר א-זרקא,92%
אבעבועות רוח-VAR,נחף,92%
אבעבועות רוח-VAR,טורעאן,94%
אבעבועות רוח-VAR,כוכב השחר,56%
אבעבועות רוח-VAR,"בסמ""ה",91%
אבעבועות רוח-VAR,עלי,78%
אבעבועות רוח-VAR,אורנית,72%
אבעבועות רוח-VAR,ג'לג'וליה,92%
אבעבועות רוח-VAR,ג'ת,93%
אבעבועות רוח-VAR,מיתר,83%
אבעבועות רוח-VAR,אבו גוש,84%
אבעבועות רוח-VAR,"בני עי""ש",70%
אבעבועות רוח-VAR,ביר הדאג',59%
אבעבועות רוח-VAR,דייר אל-אסד,93%
אבעבועות רוח-VAR,גני מודיעין,57%
אבעבועות רוח-VAR,כוכב יאיר,79%
אבעבועות רוח-VAR,מג'ד אל-כרום,93%
אבעבועות רוח-VAR,אלפי מנשה,78%
אבעבועות רוח-VAR,עין מאהל,94%
